Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_Amphenol_132289_EdgeMount,1,Antenna_Shield,
ANT1,SAMM10Q00B,1,SAM-M10Q-00B,
"C1, C2, C3, C4",0603,4,1uF,
"C5, C6, C7, C8",1206,4,4.7uF,
"D1, D2",0603,2,LED,
"H1, H2, H3",MountingHole_2.7mm_M2.5_DIN965_Pad_TopBottom,3,MH,
IC1,SOT95P270X145-5N,1,MCP73831T-4ADI_OT,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,battery_solder,1,Conn_01x02,
J3,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
"JP1, JP11, JP13, JP15, JP3, JP5, JP7, JP9",0603,8,1,
"JP10, JP12, JP14, JP16, JP2, JP4, JP6, JP8",0603,8,0,
PS1,SOT230P700X180-4N,1,ZLDO1117QG33TA,
"R1, R2",0603,2,4K7,
"R3, R4",0603,2,10K,
R5,0603,1,2K,
"R6, R7",0603,2,470,
SOM1,LoRa_SOM,1,LoRa_SOM,
SW1,switch,1,~,
TP1,TestPoint_Pad_D1.0mm,1,TX,
TP2,TestPoint_Pad_D1.0mm,1,RX,
TP5,TestPoint_Pad_D1.0mm,1,RST,
U1,QFP50P900X900X160-48N,1,STM32L010C6T6,
