Designator,Mid X,Mid Y,Rotation,Layer
AE1,142.5,-47.8,90.0,top
ANT1,142.45,-104.5,0.0,top
C1,148.8,-86.2,270.0,top
C2,136.4,-89.4,90.0,top
C3,145.25,-93.2,180.0,top
C4,140.0,-81.0,0.0,top
C5,152.6,-112.4,0.0,bottom
C6,147.3,-112.5,180.0,bottom
C7,143.6,-110.875,270.0,bottom
C8,136.5,-110.875,270.0,bottom
D1,131.7,-102.3,0.0,bottom
D2,131.75,-114.0,0.0,bottom
IC1,140.0,-108.3,180.0,bottom
J1,132.0,-89.525,180.0,top
J2,146.2,-98.7,90.0,bottom
J3,132.7,-108.1,90.0,bottom
JP1,138.51,-62.0,180.0,bottom
JP10,141.99,-70.0,180.0,bottom
JP11,138.52,-72.0,180.0,bottom
JP12,141.99,-72.0,180.0,bottom
JP13,138.5,-74.0,180.0,bottom
JP14,141.99,-74.0,180.0,bottom
JP15,138.52,-76.0,180.0,bottom
JP16,142.0,-76.0,180.0,bottom
JP2,141.99,-62.0,180.0,bottom
JP3,138.5,-64.0,180.0,bottom
JP4,142.0,-64.0,180.0,bottom
JP5,138.51,-66.0,180.0,bottom
JP6,141.99,-66.0,180.0,bottom
JP7,138.51,-68.0,180.0,bottom
JP8,142.0,-68.0,180.0,bottom
JP9,138.51,-70.0,180.0,bottom
PS1,151.1,-107.1,90.0,bottom
R1,150.6,-86.2,90.0,top
R2,139.5,-94.7,0.0,top
R3,146.8,-105.3,270.0,bottom
R4,145.3,-103.6,270.0,bottom
R5,137.925,-105.7,0.0,bottom
R6,131.675,-100.7,180.0,bottom
R7,131.7,-115.6,180.0,bottom
SOM1,132.595,-67.5,90.0,top
SW1,142.0,-112.76,0.0,top
U1,142.5,-87.0,180.0,top
